  1    1 H    1 007825.03207	0.00010
  1    2 H    2 014101.77785	0.00036
  1    3 H    3 016049.27767	0.00247
  2    3 He   3 016029.31914	0.00260
  3    3 Li   3 030775      2147
  1    4 H    4 027806.424    110.881
  2    4 He   4 002603.25415	0.00006
  3    4 Li   4 027185.558    227.733
  1    5 H    5 035311.488    107.354
  2    5 He   5 012223.624     53.677
  3    5 Li   5 012537.800     53.677
  4    5 Be   5 040790      4290
  1    6 H    6 044942.594    284.388
  2    6 He   6 018889.124	0.810
  3    6 Li   6 015122.794	0.016
  4    6 Be   6 019726.317	5.848
  5    6 B    6 046810       750
  1    7 H    7 052749      1079
  2    7 He   7 028020.618     17.883
  3    7 Li   7 016004.548	0.084
  4    7 Be   7 016929.828	0.113
  5    7 B    7 029917.901     75.912
  2    8 He   8 033921.897	7.373
  3    8 Li   8 022487.362	0.101
  4    8 Be   8 005305.103	0.037
  5    8 B    8 024607.233	1.073
  6    8 C    8 037675.025     24.764
  2    9 He   9 043950.286     31.581
  3    9 Li   9 026789.505	2.077
  4    9 Be   9 012182.201	0.426
  5    9 B    9 013328.782	1.055
  6    9 C    9 031036.689	2.295
  2   10 He  10 052398.837     75.149
  3   10 Li  10 035481.259     16.236
  4   10 Be  10 013533.818	0.430
  5   10 B   10 012936.992	0.413
  6   10 C   10 016853.228	0.432
  7   10 N   10 041653.674    429.417
  3   11 Li  11 043797.715     20.713
  4   11 Be  11 021657.749	6.823
  5   11 B   11 009305.406	0.448
  6   11 C   11 011433.613	1.020
  7   11 N   11 026090.956     49.550
  3   12 Li  12 053780      1070
  4   12 Be  12 026920.737     16.108
  5   12 B   12 014352.104	1.502
  6   12 C   12 000000.0	0.0
  7   12 N   12 018613.197	1.073
  8   12 O   12 034404.895     19.824
  4   13 Be  13 035693.007     76.855
  5   13 B   13 017780.217	1.163
  6   13 C   13 003354.83778	0.00098
  7   13 N   13 005738.609	0.289
  8   13 O   13 024812.213     10.226
  4   14 Be  14 042892.920    141.970
  5   14 B   14 025404.009     22.773
  6   14 C   14 003241.98870	0.00408
  7   14 N   14 003074.00478	0.00062
